carat;cut;color;clarity;depth;table;price;x;y;z
23;Ideal;E;SI2;615;550;326;395;398;243
21;Premium;E;SI1;598;610;326;389;384;231
23;Good;E;VS1;569;650;327;405;407;231
29;Premium;I;VS2;624;580;334;42;423;263
31;Good;J;SI2;633;580;335;434;435;275
24;Very Good;J;VVS2;628;570;336;394;396;248
24;Very Good;I;VVS1;623;570;336;395;398;247
26;Very Good;H;SI1;619;550;337;407;411;253
22;Fair;E;VS2;651;610;337;387;378;249
23;Very Good;H;VS1;594;610;338;40;405;239
3;Good;J;SI1;640;550;339;425;428;273
23;Ideal;J;VS1;628;560;340;393;39;246
22;Premium;F;SI1;604;610;342;388;384;233
31;Ideal;J;SI2;622;540;344;435;437;271
2;Premium;E;SI2;602;620;345;379;375;227
32;Premium;E;I1;609;580;345;438;442;268
3;Ideal;I;SI2;620;540;348;431;434;268
3;Good;J;SI1;634;540;351;423;429;27
3;Good;J;SI1;638;560;351;423;426;271
3;Very Good;J;SI1;627;590;351;421;427;266
23;Very Good;E;VS2;638;550;352;385;392;248
23;Very Good;H;VS1;610;570;353;394;396;241
31;Very Good;J;SI1;594;620;353;439;443;262
31;Very Good;J;SI1;581;620;353;444;447;259
23;Very Good;G;VVS2;604;580;354;397;401;241
24;Premium;I;VS1;625;570;355;397;394;247
3;Very Good;J;VS2;622;570;357;428;43;267
23;Very Good;D;VS2;605;610;357;396;397;24
23;Very Good;F;VS1;609;570;357;396;399;242
23;Very Good;F;VS1;600;570;402;40;403;241
23;Very Good;F;VS1;598;570;402;404;406;242
23;Very Good;E;VS1;607;590;402;397;401;242
23;Very Good;E;VS1;595;580;402;401;406;24
23;Very Good;D;VS1;619;580;402;392;396;244
23;Good;F;VS1;582;590;402;406;408;237
23;Good;E;VS1;641;590;402;383;385;246
31;Good;H;SI1;640;540;402;429;431;275
26;Very Good;D;VS2;608;590;403;413;416;252
33;Ideal;I;SI2;618;550;403;449;451;278
33;Ideal;I;SI2;612;560;403;449;45;275
33;Ideal;J;SI1;611;560;403;449;455;276
26;Good;D;VS2;652;560;403;399;402;261
26;Good;D;VS1;584;630;403;419;424;246
32;Good;H;SI2;631;560;403;434;437;275
29;Premium;F;SI1;624;580;403;424;426;265
32;Very Good;H;SI2;618;550;403;435;442;271
25;Very Good;E;VS2;633;600;404;40;403;254
29;Very Good;H;SI2;607;600;404;433;437;264
24;Very Good;F;SI1;609;610;404;402;403;245
23;Ideal;G;VS1;619;540;404;393;395;244
22;Premium;E;VS2;616;580;404;393;389;241
22;Premium;D;VS2;593;620;404;391;388;231
3;Ideal;I;SI2;610;590;405;43;433;263
3;Premium;J;SI2;593;610;405;443;438;261
3;Very Good;I;SI1;626;570;405;425;428;267
3;Very Good;I;SI1;630;570;405;428;432;271
3;Good;I;SI1;632;550;405;425;429;27
35;Ideal;I;VS1;609;570;552;454;459;278
3;Premium;D;SI1;626;590;552;423;427;266
3;Ideal;D;SI1;625;570;552;429;432;269
42;Premium;I;SI2;615;590;552;478;484;296
32;Ideal;I;VVS1;620;553;553;439;442;273
31;Very Good;G;SI1;633;570;553;433;43;273
31;Premium;G;SI1;618;580;553;435;432;268
24;Very Good;D;VVS1;615;600;553;397;40;245
3;Very Good;H;SI1;631;560;554;429;427;27
3;Premium;H;SI1;629;590;554;428;424;268
3;Premium;H;SI1;625;570;554;429;425;267
3;Good;H;SI1;637;570;554;428;426;272
26;Very Good;F;VVS2;592;600;554;419;422;249
26;Very Good;E;VVS2;599;580;554;415;423;251
26;Very Good;D;VVS2;624;540;554;408;413;256
26;Very Good;D;VVS2;628;600;554;401;405;253
26;Very Good;E;VVS1;626;590;554;406;409;255
26;Very Good;E;VVS1;634;590;554;40;404;255
26;Very Good;D;VVS1;621;600;554;403;412;253
26;Ideal;E;VVS2;629;580;554;402;406;254
38;Ideal;I;SI2;616;560;554;465;467;287
24;Premium;G;VVS1;623;590;554;395;392;245
24;Premium;H;VVS1;612;580;554;401;396;244
24;Premium;H;VVS1;608;590;554;402;40;244
24;Premium;H;VVS2;607;580;554;407;404;246
7;Ideal;E;SI1;625;570;2757;57;572;357
86;Fair;E;SI2;551;690;2757;645;633;352
7;Ideal;G;VS2;616;560;2757;57;567;35
71;Very Good;E;VS2;624;570;2759;568;573;356
78;Very Good;G;SI2;638;560;2759;581;585;372
7;Good;E;VS2;575;580;2759;585;59;338
7;Good;F;VS1;594;620;2759;571;576;34
96;Fair;F;SI2;663;620;2759;627;595;407
73;Very Good;E;SI1;616;590;2760;577;578;356
8;Premium;H;SI1;615;580;2760;597;593;366
75;Very Good;D;SI1;632;560;2760;58;575;365
75;Premium;E;SI1;599;540;2760;60;596;358
75;Premium;G;VS2;617;580;2760;585;579;359
8;Ideal;I;VS1;629;560;2760;594;587;372
75;Ideal;G;SI1;622;550;2760;587;58;363
8;Premium;G;SI1;630;590;2760;59;581;369
74;Ideal;I;VVS2;623;550;2761;577;581;361
81;Ideal;F;SI2;588;570;2761;614;611;36
59;Ideal;E;VVS2;620;550;2761;538;543;335
8;Ideal;F;SI2;614;570;2761;596;60;367
74;Ideal;E;SI2;622;560;2761;58;584;362
9;Premium;I;VS2;630;580;2761;616;612;387
74;Very Good;G;SI1;622;590;2762;573;582;359
73;Ideal;F;VS2;626;560;2762;577;574;36
73;Ideal;F;VS2;627;530;2762;58;575;362
8;Premium;F;SI2;617;580;2762;598;594;368
71;Ideal;G;VS2;624;540;2762;572;576;358
7;Ideal;E;VS2;607;580;2762;573;576;349
8;Ideal;F;SI2;599;590;2762;601;607;362
74;Ideal;E;SI1;623;540;2762;58;583;362
7;Very Good;F;VS2;617;630;2762;564;561;347
7;Fair;F;VS2;645;570;2762;557;553;358
7;Fair;F;VS2;653;550;2762;563;558;366
7;Premium;F;VS2;616;600;2762;565;559;346
